Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-8.1,,74,,18,101.9,,
-7.8,,74,,16,101.83,,
-7.7,,76,,17,101.86,,
-7.7,,81,,15,101.79,,
-7.6,,82,,15,101.77,,
-7.4,,83,,16,101.72,,
-7,,87,,13,101.69,,
-6.6,,89,,17,101.64,,
-6.1,,88,,19,101.6,,
-5.7,,88,,18,101.58,,
-4.9,,87,,18,101.57,,
-3.9,,87,,13,101.54,,
-3.3,,92,,13,101.38,,
-2.4,,93,,14,101.22,,
-1.7,,96,,14,101.12,,
-1.5,,96,,14,101.08,,
-1,,96,,12,101.1,,
-2.1,,95,,15,101.06,,
-2.9,,95,,16,100.97,,
-2.8,,96,,17,100.93,,
-2.9,,96,,18,100.9,,
-2.7,,94,,15,100.8,,
-2.7,,93,,16,100.7,,
-2.2,,94,,15,100.58,,
-2.6,,93,,16,100.43,,
-2.8,,93,,17,100.28,,
-2.7,,94,,15,100.23,,
-2.6,,94,,20,100.08,,
-2.1,,93,,20,99.99,,
-2.2,,94,,20,99.88,,
-2,,94,,22,99.87,,
-1.5,,94,,20,99.9,,
-1.1,,96,,18,99.87,,
-1,,96,,21,99.84,,
-0.9,,96,,18,99.9,,
-1,,96,,15,99.93,,
-1.7,,94,,19,99.94,,
-2.2,,95,,16,100,,
-3.1,,94,,16,100.15,,
-2.9,,94,,15,100.3,,
-2.9,,95,,14,100.43,,
-3.5,,93,,16,100.52,,
-4,,93,,8,100.69,,
-3.7,,90,,12,100.78,,
-3.9,,89,,12,100.83,,
-4.1,,87,,15,100.81,,
-4.2,,83,,10,101.04,,
-4.3,,80,,11,101.03,,
-4.7,,81,,10,101.04,,
-5.2,,80,,15,101.02,,
-5.3,,77,,14,101.05,,
-5.5,,78,,11,101.11,,
-5.7,,76,,14,101.15,,
-6.2,,76,,13,101.22,,
-6.4,,77,,13,101.28,,
-6.6,,76,,12,101.3,,
-6.9,,73,,16,101.3,,
-6.9,,74,,15,101.38,,
-6.5,,73,,12,101.39,,
-6,,73,,10,101.43,,
-5.5,,73,,7,101.44,,
-4.9,,76,,0,101.46,,
-5,,78,,7,101.43,,
-5,,76,,9,101.47,,
-5,,78,,6,101.6,,
-5.5,,82,,4,101.69,,
-7.4,,85,,10,101.73,,
-8.1,,86,,4,101.82,,
-8.1,,85,,4,101.86,,
-8,,83,,5,101.92,,
-9.3,,84,,6,101.92,,
-9.8,,86,,9,101.96,,
-10.9,,90,,6,101.92,,
-13.7,,89,,8,101.93,,
-10.1,,89,,3,102.03,,
-8.5,,77,,8,102.11,,
-8.9,,79,,13,102.14,,
-9.1,,81,,14,102.21,,
-9,,80,,20,102.27,,
-9.5,,80,,13,102.33,,
-10.2,,81,,10,102.33,,
-9.4,,76,,9,102.4,,
-8.4,,71,,15,102.46,,
-7.2,,68,,11,102.43,,
-6.8,,67,,11,102.36,,
-6.1,,63,,6,102.32,,
-5.4,,61,,5,102.29,,
-5,,59,,5,102.28,,
-4.8,,62,,5,102.27,,
-6.3,,69,,0,102.3,,
-7.8,,77,,3,102.36,,
-8.1,,82,,3,102.36,,
-9.6,,85,,5,102.39,,
-10.4,,85,,4,102.32,,
-11.3,,89,,3,102.29,,
-11.6,,83,,4,102.22,,
-10.6,,87,,3,102.14,,
-10.4,,90,,7,102.12,,
-11.6,,83,,10,102.05,,
-10,,84,,7,102.02,,
-13.7,,91,,4,102.02,,
-14.2,,88,,4,101.95,,
-14.8,,90,,10,101.92,,
-13.2,,87,,4,101.93,,
-13.2,,87,,5,101.84,,
-13,,85,,3,101.83,,
-10.6,,78,,3,101.73,,
-8.3,,73,,5,101.6,,
-6.6,,67,,6,101.44,,
-5.7,,63,,7,101.3,,
-4.8,,64,,8,101.2,,
-5,,64,,6,101.14,,
-4.9,,66,,10,101.09,,
-5.6,,75,,11,101.07,,
-5.4,,79,,6,101.01,,
-5.5,,81,,6,100.92,,
-6.4,,82,,7,100.9,,
-6.1,,79,,7,100.84,,
-6.3,,80,,6,100.75,,
-7.7,,80,,6,100.71,,
-7.3,,84,,3,100.64,,
-8.1,,85,,5,100.55,,
-8.5,,85,,4,100.54,,
-9.1,,86,,4,100.48,,
-9.1,,83,,8,100.41,,
-9.5,,83,,9,100.38,,
-10.2,,86,,4,100.34,,
-9.9,,83,,7,100.31,,
-10.4,,85,,0,100.31,,
-7.8,,75,,6,100.29,,
-6.5,,71,,10,100.21,,
-5.3,,75,,15,100.17,,
-4.2,,70,,7,100.06,,
-3.1,,69,,12,99.99,,
-2.7,,62,,10,99.94,,
-2.8,,67,,10,99.92,,
-2.6,,69,,8,99.92,,
-2.5,,71,,8,99.88,,
-2.3,,80,,7,99.84,,
-2.1,,78,,8,99.81,,
-1.9,,76,,10,99.79,,
-2.1,,73,,6,99.78,,
-2,,74,,9,99.79,,
-2.2,,79,,7,99.77,,
-2.4,,91,,0,99.71,,
-1.7,,95,,7,99.73,,
-1.6,,96,,4,99.72,,
-1.3,,96,,0,99.72,,
-1.1,,97,,3,99.74,,
-0.8,,97,,0,99.77,,
-0.5,,97,,5,99.83,,
-0.6,,96,,5,99.88,,
-0.9,,96,,6,100,,
-0.4,,95,,13,100.08,,
0.1,,92,,14,100.16,,
0,,92,,11,100.19,,
0.3,,91,,14,100.19,,
0.8,,88,,13,100.21,,
1.2,,84,,13,100.29,,
1.5,,82,,10,100.37,,
1.6,,84,,13,100.5,,
1.6,,84,,16,100.59,,
1.1,,88,,18,100.73,,
1.3,,86,,15,100.85,,
0.3,,83,,12,100.95,,
-0.7,,83,,16,101.07,,
-1.4,,81,,9,101.08,,
-2.2,,83,,5,101.13,,
-3.4,,84,,4,101.18,,
-4,,87,,0,101.23,,
-2.8,,80,,10,101.31,,
-2.4,,83,,7,101.36,,
-1.8,,83,,5,101.34,,
-1.6,,83,,6,101.31,,
-1.2,,79,,8,101.27,,
-0.7,,75,,4,101.41,,
-0.5,,75,,4,101.4,,
-0.3,,74,,6,101.41,,
0.1,,66,,14,101.41,,
0.1,,65,,13,101.3,,
-0.1,,65,,14,101.22,,
-0.4,,66,,15,101.06,,
-0.6,,66,,15,100.99,,
-0.8,,66,,17,100.92,,
-1.3,,68,,16,100.9,,
-1.8,,69,,21,100.82,,
-2.2,,72,,24,100.66,,
-2.4,,72,,22,100.6,,
-2.4,,74,,23,100.39,,
-2.3,,75,,18,100.43,,
-3.2,,92,,27,100.25,,
-3.1,,96,,18,100.19,,
-2.9,,95,,18,100.09,,
-2.6,,95,,17,99.96,,
-2.1,,94,,22,99.88,,
-1.5,,94,,19,99.88,,
-1.5,,94,,22,99.81,,
-1.5,,94,,23,99.78,,
-1.5,,94,,20,99.84,,
-1.6,,94,,20,99.87,,
-2.1,,94,,21,99.9,,
-2.3,,93,,21,99.93,,
-2,,91,,20,99.96,,
-1.6,,90,,19,99.98,,
-1.6,,88,,17,99.98,,
-1.6,,88,,23,100.01,,
-1.6,,87,,22,100.1,,
-1.5,,88,,22,100.23,,
-1.9,,92,,18,100.36,,
-2,,92,,18,100.49,,
-2.1,,88,,23,100.62,,
-2.6,,88,,20,100.75,,
-3,,86,,19,100.85,,
-2.7,,83,,15,100.92,,
-3.8,,82,,14,101,,
-5.6,,87,,9,101.08,,
-5.3,,89,,10,101.16,,
-3.8,,86,,7,101.23,,
-3.5,,85,,5,101.31,,
-3.6,,84,,3,101.35,,
-3.8,,87,,7,101.41,,
-3.2,,80,,6,101.45,,
-3.5,,83,,3,101.53,,
-3.7,,83,,9,101.59,,
-3.6,,87,,9,101.67,,
-3.9,,89,,9,101.75,,
-3.5,,87,,6,101.79,,
-3.1,,87,,7,101.77,,
-2.6,,85,,7,101.72,,
-2.1,,84,,6,101.66,,
-1.8,,83,,7,101.63,,
-1.1,,70,,13,101.68,,
-1.5,,72,,13,101.72,,
-2.5,,75,,12,101.75,,
-3,,79,,7,101.77,,
-2.5,,80,,10,101.79,,
-2.1,,81,,12,101.79,,
-2.1,,82,,9,101.77,,
-1.9,,81,,6,101.74,,
-2,,81,,7,101.72,,
-2.1,,83,,8,101.71,,
-2.3,,84,,7,101.7,,
-2.3,,86,,7,101.7,,
-2.4,,87,,6,101.65,,
-2.4,,88,,9,101.65,,
-2.4,,91,,8,101.59,,
-2.4,,92,,5,101.56,,
-2.3,,91,,0,101.53,,
-2.1,,92,,4,101.5,,
-2,,93,,8,101.54,,
-1.4,,94,,11,101.47,,
-1.1,,92,,10,101.41,,
-0.6,,92,,12,101.27,,
