Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
8.4,,95,,9,99.63,,
8.2,,92,,11,99.7,,
8.4,,92,,7,99.68,,
8.3,,91,,6,99.7,,
7.7,,94,,7,99.71,,
8,,95,,8,99.69,,
7.8,,95,,10,99.68,,
7.8,,95,,11,99.65,,
7.8,,82,,25,99.73,,
6.5,,81,,17,99.74,,
5.9,,84,,11,99.71,,
5.8,,81,,14,99.68,,
5.2,,77,,19,99.73,,
5.1,,80,,15,99.77,,
5.1,,75,,23,99.78,,
5.5,,71,,18,99.82,,
6.3,,69,,18,99.8,,
7.9,,63,,17,99.8,,
7.8,,55,,24,99.81,,
7.4,,58,,26,99.83,,
8.3,,57,,22,99.85,,
8.6,,52,,20,99.86,,
9.3,,51,,25,99.87,,
9.2,,51,,23,99.93,,
8.9,,49,,28,99.97,,
8.5,,51,,29,100.04,,
7.7,,53,,24,100.12,,
7.5,,56,,20,100.17,,
7.2,,60,,21,100.27,,
6.3,,64,,22,100.35,,
5.3,,70,,21,100.41,,
5,,70,,23,100.46,,
3.9,,74,,16,100.52,,
3.4,,73,,17,100.58,,
3.5,,76,,16,100.56,,
3.7,,69,,15,100.59,,
3.3,,70,,16,100.64,,
2.7,,74,,14,100.68,,
2.6,,74,,16,100.76,,
3.1,,70,,18,100.8,,
3.6,,70,,20,100.81,,
4.1,,69,,19,100.94,,
4.6,,69,,22,101.02,,
5.4,,66,,22,101.04,,
6.2,,61,,19,101.05,,
5.2,,65,,20,101.07,,
5.4,,58,,24,101.1,,
5.5,,58,,20,101.16,,
5.1,,55,,21,101.19,,
5,,53,,25,101.28,,
4.1,,52,,27,101.4,,
3.5,,59,,22,101.49,,
3.1,,56,,22,101.58,,
2.6,,56,,20,101.63,,
2.4,,54,,17,101.66,,
2.3,,53,,15,101.69,,
2.2,,53,,16,101.72,,
2.2,,56,,12,101.77,,
2,,57,,19,101.84,,
1.4,,60,,16,101.89,,
0.4,,64,,12,101.94,,
-0.4,,66,,11,101.97,,
1.2,,63,,11,101.99,,
1.8,,57,,16,102.04,,
3.3,,55,,15,102.09,,
3.5,,51,,15,102.08,,
3.5,,52,,16,102.12,,
4.8,,48,,11,102.05,,
5.7,,43,,11,101.95,,
6.6,,44,,12,101.93,,
7.4,,45,,14,101.92,,
8.2,,44,,11,101.9,,
8.6,,41,,3,101.85,,
9.1,,39,,10,101.82,,
8.4,,40,,13,101.84,,
8.1,,41,,12,101.83,,
8.1,,41,,9,101.84,,
8.2,,42,,6,101.9,,
8.2,,44,,5,101.88,,
8,,44,,8,101.78,,
6.9,,49,,16,101.84,,
4.4,,53,,23,101.96,,
3.7,,54,,20,101.89,,
3.3,,55,,18,101.93,,
3.2,,59,,16,101.84,,
2.9,,57,,19,101.87,,
2.9,,59,,18,101.72,,
3.5,,57,,18,101.73,,
4.1,,57,,20,101.67,,
5.4,,53,,23,101.62,,
7.9,,46,,23,101.5,,
9.5,,43,,22,101.4,,
10.5,,43,,20,101.28,,
13,,41,,16,101.22,,
13.8,,41,,17,101.15,,
14.5,,40,,23,101.02,,
14.9,,40,,23,100.95,,
14.6,,40,,22,100.93,,
14.2,,43,,20,100.91,,
13.1,,44,,20,100.85,,
11.9,,47,,23,100.86,,
10.7,,53,,22,100.93,,
10.4,,54,,15,100.94,,
9.3,,60,,23,100.77,,
