Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
21.7,,85,,13,100.07,,
22.4,,85,,10,100.02,,
23.5,,68,,20,99.97,,
22,,72,,13,100.07,,
21.9,,69,,13,100.05,,
20.5,,77,,14,100.07,,
19.9,,80,,17,100.11,,
19.4,,82,,17,100.09,,
19.3,,83,,18,100.07,,
19.4,,82,,20,100.04,,
19.1,,83,,20,100,,
18.5,,88,,15,99.98,,
18.2,,90,,16,99.99,,
17.8,,93,,16,100,,
17.9,,92,,15,100.03,,
18.3,,92,,16,100.06,,
19.2,,87,,16,100.12,,
19,,84,,18,100.18,,
18.8,,86,,20,100.17,,
20.3,,81,,21,100.2,,
20.4,,77,,24,100.22,,
20.4,,77,,25,100.27,,
22.4,,70,,27,100.28,,
22.9,,73,,25,100.31,,
23.9,,66,,25,100.33,,
23.9,,62,,23,100.35,,
23.9,,61,,20,100.36,,
23.4,,62,,20,100.39,,
22.8,,66,,9,100.44,,
21.9,,67,,7,100.47,,
21.9,,69,,8,100.5,,
22.5,,66,,7,100.5,,
21.6,,76,,7,100.53,,
20.5,,75,,10,100.56,,
19.6,,79,,0,100.61,,
19.4,,79,,8,100.63,,
18,,76,,9,100.65,,
18.2,,79,,7,100.7,,
18.1,,77,,11,100.77,,
18.2,,80,,9,100.82,,
19.8,,72,,9,100.84,,
21.5,,65,,8,100.88,,
22.9,,65,,9,100.91,,
24,,60,,15,100.94,,
25.3,,55,,18,100.94,,
26.2,,48,,14,100.94,,
26.6,,45,,13,100.91,,
26.8,,44,,17,100.9,,
27.2,,45,,13,100.87,,
27.1,,45,,14,100.87,,
27.2,,47,,11,100.85,,
26.7,,48,,13,100.88,,
26.2,,51,,11,100.93,,
24.9,,62,,12,100.97,,
24.3,,63,,14,101.03,,
23.8,,64,,13,101.09,,
23,,69,,18,101.14,,
22.3,,71,,11,101.16,,
21.8,,69,,10,101.15,,
21.2,,71,,9,101.15,,
20.8,,73,,6,101.18,,
20.6,,74,,6,101.23,,
20.8,,75,,8,101.26,,
20.9,,78,,8,101.3,,
22.2,,71,,8,101.31,,
22.9,,68,,11,101.33,,
24.1,,63,,9,101.3,,
25.4,,56,,12,101.31,,
27.1,,53,,10,101.29,,
27.9,,50,,9,101.23,,
27.6,,52,,8,101.18,,
27.2,,56,,15,101.12,,
27.4,,55,,17,101.14,,
28.1,,54,,19,101.06,,
27,,47,,20,101.04,,
25.3,,56,,22,101.07,,
24.2,,60,,22,101.05,,
22.5,,77,,14,101.18,,
22.1,,76,,4,101.17,,
21.3,,82,,8,101.15,,
20.3,,84,,9,101.12,,
19.9,,87,,8,101.11,,
20.6,,83,,11,101.13,,
20.6,,82,,8,101.15,,
19.8,,86,,8,101.16,,
19.6,,86,,11,101.18,,
19.7,,88,,10,101.24,,
19.7,,88,,11,101.24,,
20.1,,86,,9,101.27,,
20.7,,85,,5,101.31,,
21.6,,81,,11,101.32,,
23.2,,75,,10,101.32,,
23.9,,71,,9,101.32,,
23.9,,71,,11,101.29,,
25.2,,63,,7,101.25,,
26.3,,61,,13,101.2,,
26.5,,61,,16,101.19,,
26.4,,57,,16,101.14,,
26.5,,47,,12,101.1,,
25.9,,42,,12,101.12,,
24.9,,52,,9,101.14,,
24.1,,59,,7,101.14,,
23,,64,,0,101.18,,
23.9,,63,,6,101.15,,
23.2,,72,,9,101.14,,
23,,78,,14,101.13,,
22.4,,79,,11,101.12,,
22.2,,80,,11,101.06,,
21.4,,81,,14,101.06,,
21,,84,,11,101.09,,
20.8,,85,,10,101.11,,
20.7,,85,,17,101.13,,
21.4,,81,,12,101.13,,
22.6,,73,,16,101.16,,
23.5,,75,,18,101.16,,
24.9,,71,,18,101.11,,
26.5,,64,,17,101.05,,
28,,60,,22,100.98,,
28.4,,58,,20,100.89,,
28.1,,60,,19,100.85,,
28.6,,59,,21,100.8,,
27.9,,61,,15,100.79,,
24.2,,80,,11,100.82,,
25,,79,,8,100.75,,
24.6,,82,,9,100.73,,
25.6,,74,,15,100.77,,
23.1,,81,,17,100.87,,
22.1,,82,,12,100.88,,
21.9,,81,,3,100.84,,
21.5,,84,,4,100.81,,
22,,81,,6,100.73,,
22.2,,82,,8,100.66,,
22,,90,,12,100.69,,
21.4,,93,,16,100.7,,
21.1,,95,,3,100.65,,
20.5,,88,,6,100.64,,
19.4,,93,,10,100.62,,
20.4,,95,,10,100.54,,
21,,95,,15,100.45,,
21.6,,95,,10,100.48,,
22.4,,90,,7,100.45,,
20.1,,94,,20,100.46,,
20.5,,96,,16,100.51,,
21.5,,90,,16,100.56,,
23.6,,79,,10,100.57,,
24.3,,75,,11,100.56,,
25,,73,,7,100.57,,
25,,76,,6,100.56,,
24.2,,79,,14,100.64,,
24.1,,81,,12,100.69,,
23.6,,86,,13,100.72,,
23.3,,86,,9,100.76,,
23.2,,84,,10,100.78,,
22.7,,85,,15,100.82,,
22.1,,88,,13,100.8,,
21.7,,89,,11,100.77,,
21.7,,90,,8,100.81,,
21.4,,92,,9,100.83,,
21.3,,93,,6,100.84,,
21.9,,92,,8,100.83,,
22.1,,93,,12,100.82,,
22.6,,91,,13,100.79,,
23.9,,84,,19,100.84,,
25.9,,76,,15,100.84,,
26.5,,71,,18,100.83,,
27,,72,,19,100.77,,
26.7,,74,,21,100.76,,
26.5,,75,,14,100.69,,
27.8,,69,,24,100.68,,
26.9,,74,,19,100.62,,
25.6,,81,,15,100.66,,
24.4,,83,,19,100.65,,
21.7,,94,,12,100.7,,
21.8,,93,,14,100.73,,
21.9,,90,,15,100.76,,
21.4,,94,,9,100.74,,
21.2,,93,,6,100.74,,
20.8,,96,,7,100.75,,
19.6,,78,,21,100.8,,
18.6,,74,,18,100.78,,
18.3,,73,,16,100.8,,
17.8,,76,,15,100.86,,
17.7,,67,,13,100.86,,
17.4,,64,,15,100.9,,
17.4,,66,,17,100.9,,
17.7,,63,,17,100.88,,
17.8,,63,,15,100.82,,
18.2,,62,,12,100.82,,
18.1,,60,,9,100.77,,
18.5,,61,,6,100.74,,
18,,62,,9,100.69,,
17.9,,70,,3,100.66,,
18,,69,,4,100.61,,
17.4,,78,,5,100.66,,
17.3,,81,,8,100.63,,
18.3,,78,,8,100.64,,
16.3,,81,,7,100.62,,
17.1,,83,,0,100.62,,
16,,88,,9,100.63,,
16.7,,73,,14,100.73,,
15,,79,,13,100.78,,
14.7,,81,,14,100.78,,
12.9,,85,,10,100.83,,
12.1,,87,,8,100.85,,
11.5,,90,,9,100.84,,
11,,91,,8,100.84,,
11.3,,90,,9,100.86,,
13.4,,84,,5,100.89,,
15.5,,74,,6,100.93,,
17.3,,63,,10,100.96,,
19,,61,,8,100.96,,
19.9,,50,,16,100.95,,
21.4,,54,,16,100.9,,
22,,56,,19,100.84,,
23,,55,,19,100.8,,
23.7,,48,,19,100.76,,
23.5,,48,,21,100.7,,
24.2,,45,,25,100.67,,
23.2,,47,,22,100.69,,
23.4,,47,,14,100.7,,
19.9,,65,,19,100.74,,
17.3,,86,,4,100.81,,
18.2,,87,,13,100.81,,
18.3,,85,,6,100.77,,
16.2,,94,,11,100.86,,
16.3,,92,,9,100.77,,
16.5,,92,,15,100.75,,
16.7,,90,,10,100.7,,
15.6,,95,,9,100.71,,
15.2,,94,,9,100.74,,
15.2,,94,,7,100.77,,
15.6,,92,,10,100.84,,
15.8,,90,,8,100.9,,
17.2,,87,,12,100.93,,
18.5,,80,,9,100.94,,
19.8,,72,,17,100.98,,
19.8,,71,,13,100.99,,
16.7,,82,,22,100.99,,
20.9,,63,,7,100.95,,
21.1,,50,,19,100.96,,
22.1,,44,,21,100.98,,
22.2,,44,,21,100.98,,
21.5,,40,,19,101.04,,
20.3,,46,,25,101.09,,
18.7,,53,,14,101.14,,
17.6,,56,,13,101.22,,
15.7,,63,,11,101.3,,
15.8,,61,,15,101.33,,
14.9,,64,,15,101.36,,
