Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
21.4,,86,,5,100.9,,
22.7,,79,,3,100.85,,
24.9,,70,,5,100.81,,
26,,66,,5,100.75,,
25.9,,68,,7,100.7,,
26.8,,60,,5,100.62,,
28.2,,56,,8,100.55,,
27.7,,65,,14,100.49,,
26.6,,67,,18,100.45,,
25.9,,70,,23,100.41,,
25.2,,70,,30,100.38,,
24.3,,75,,26,100.37,,
23.2,,76,,26,100.35,,
22.6,,78,,24,100.3,,
22.4,,77,,21,100.27,,
22,,79,,22,100.24,,
21.6,,81,,23,100.18,,
21.6,,80,,23,100.08,,
21.6,,80,,25,99.99,,
21.8,,80,,20,99.95,,
21,,89,,16,99.97,,
20.7,,92,,8,99.96,,
20,,91,,5,99.91,,
19.2,,90,,14,99.93,,
19.3,,89,,13,99.88,,
19.5,,90,,14,99.88,,
20.9,,81,,7,99.85,,
23.1,,69,,18,99.86,,
22.6,,70,,16,99.84,,
21,,82,,16,99.85,,
23.3,,57,,22,99.87,,
23.5,,55,,21,99.87,,
23.3,,50,,19,99.86,,
23,,54,,22,99.87,,
20.6,,62,,26,99.93,,
19.9,,68,,18,99.95,,
19.5,,74,,13,99.99,,
19,,77,,18,99.98,,
18,,82,,18,100.02,,
17.3,,85,,19,100.05,,
17,,85,,13,100.09,,
16.1,,91,,15,100.12,,
15.2,,96,,15,100.13,,
14.9,,95,,17,100.14,,
14.7,,93,,19,100.19,,
14.5,,93,,19,100.25,,
14.5,,93,,14,100.37,,
15.3,,89,,17,100.41,,
16,,82,,16,100.43,,
16.7,,79,,23,100.48,,
17.1,,76,,19,100.51,,
18.2,,74,,18,100.54,,
16.6,,81,,25,100.58,,
16.9,,82,,21,100.6,,
15.8,,87,,19,100.61,,
15.9,,91,,18,100.61,,
16.6,,89,,15,100.59,,
17.2,,89,,15,100.57,,
17.6,,86,,16,100.54,,
18.3,,83,,14,100.56,,
19,,79,,12,100.61,,
19.3,,75,,13,100.61,,
19.6,,70,,17,100.65,,
19,,74,,16,100.7,,
18.3,,78,,17,100.76,,
17.7,,77,,14,100.77,,
17.2,,78,,14,100.8,,
16.7,,78,,17,100.87,,
16.3,,81,,14,100.96,,
16.6,,81,,14,101.01,,
16.6,,81,,12,101.05,,
17.3,,79,,15,101.09,,
18.8,,73,,17,101.08,,
20.4,,66,,18,101.08,,
22,,65,,16,101.11,,
22.7,,66,,15,101.09,,
23.8,,65,,18,101.05,,
24.7,,60,,20,101.03,,
25.4,,58,,23,101.02,,
24.9,,65,,23,101.01,,
24.8,,60,,22,101,,
24.6,,64,,19,100.98,,
24.8,,64,,15,101.02,,
24.4,,62,,22,101.01,,
23.9,,64,,17,101.03,,
23.6,,65,,19,101.07,,
23.4,,68,,15,101.05,,
23,,71,,16,101.06,,
22.5,,74,,13,101.06,,
22,,77,,11,101.06,,
21.3,,81,,9,101.05,,
21.3,,82,,8,101.06,,
21.1,,85,,9,101.14,,
21.2,,84,,15,101.21,,
19.9,,70,,19,101.32,,
18,,67,,19,101.44,,
18.3,,64,,22,101.52,,
18.3,,65,,14,101.57,,
18.7,,61,,14,101.6,,
19.3,,57,,13,101.6,,
19.9,,57,,8,101.59,,
20.8,,53,,11,101.56,,
21.5,,46,,13,101.52,,
21.6,,44,,13,101.51,,
21.5,,47,,10,101.51,,
21,,50,,9,101.54,,
20.3,,57,,8,101.56,,
20.8,,50,,14,101.61,,
19.8,,54,,17,101.64,,
18.7,,57,,10,101.65,,
17.8,,62,,8,101.64,,
16.5,,69,,6,101.66,,
14.6,,78,,6,101.67,,
14.6,,78,,4,101.66,,
14.2,,81,,3,101.65,,
14.1,,81,,3,101.63,,
13.3,,87,,4,101.66,,
14.8,,85,,6,101.72,,
15.1,,83,,5,101.78,,
16.4,,82,,0,101.82,,
18.4,,67,,8,101.84,,
19.4,,59,,13,101.84,,
20.3,,50,,8,101.84,,
20.5,,53,,7,101.8,,
21.8,,49,,6,101.75,,
22.6,,49,,10,101.69,,
23.3,,51,,10,101.62,,
23.8,,52,,7,101.6,,
22.6,,54,,8,101.58,,
23.8,,46,,0,101.56,,
23.1,,40,,10,101.57,,
22.1,,41,,11,101.59,,
21.9,,41,,7,101.66,,
17.8,,63,,4,101.67,,
17.6,,64,,3,101.68,,
18.4,,58,,5,101.68,,
17.4,,63,,8,101.66,,
16.1,,69,,5,101.64,,
14,,82,,4,101.67,,
14.2,,84,,0,101.66,,
11.8,,92,,7,101.65,,
12.9,,91,,0,101.68,,
13.6,,90,,4,101.71,,
16.5,,81,,3,101.7,,
19,,77,,9,101.67,,
20.8,,71,,11,101.65,,
21.7,,67,,12,101.63,,
23,,56,,9,101.55,,
24,,55,,16,101.49,,
24.8,,49,,15,101.44,,
25.1,,39,,19,101.36,,
25.2,,41,,22,101.29,,
25.1,,41,,20,101.26,,
24.8,,42,,12,101.25,,
23.1,,54,,6,101.22,,
22.8,,49,,8,101.25,,
22,,60,,10,101.31,,
20.8,,64,,6,101.32,,
20.5,,65,,7,101.31,,
19.8,,70,,3,101.31,,
19.8,,69,,3,101.27,,
19.4,,72,,4,101.24,,
16.7,,76,,11,101.23,,
17.4,,70,,9,101.23,,
16.8,,77,,5,101.24,,
16.1,,80,,8,101.24,,
16.5,,82,,8,101.27,,
17.9,,77,,8,101.3,,
18.8,,73,,9,101.3,,
20.8,,68,,9,101.3,,
22.5,,63,,8,101.26,,
24.8,,55,,18,101.19,,
26.1,,47,,24,101.13,,
25.4,,43,,27,101.06,,
25.3,,47,,25,100.98,,
24.9,,51,,26,100.93,,
24.1,,56,,23,100.94,,
22.7,,51,,21,100.95,,
21.2,,57,,17,100.94,,
18.1,,78,,15,101.07,,
17.1,,89,,22,101.03,,
17.3,,92,,24,100.9,,
16.6,,92,,29,100.81,,
16.1,,91,,25,100.73,,
16.1,,94,,22,100.68,,
16.2,,96,,16,100.68,,
16.3,,97,,14,100.64,,
16.7,,97,,14,100.56,,
17.1,,97,,13,100.55,,
17.2,,97,,10,100.54,,
17.5,,97,,9,100.55,,
17.8,,96,,7,100.57,,
18.3,,94,,8,100.55,,
17.6,,95,,15,100.56,,
16.9,,97,,17,100.56,,
16.9,,96,,14,100.57,,
17.3,,95,,12,100.56,,
17.8,,91,,11,100.57,,
18.8,,87,,8,100.56,,
19.2,,86,,7,100.56,,
19.5,,83,,6,100.54,,
20.1,,80,,4,100.54,,
19.5,,81,,0,100.54,,
19.3,,83,,3,100.56,,
19.2,,87,,7,100.55,,
19.2,,89,,8,100.59,,
19.3,,90,,4,100.59,,
19.3,,91,,3,100.58,,
19.1,,96,,10,100.55,,
19,,97,,6,100.5,,
19.4,,95,,8,100.45,,
18.2,,97,,7,100.46,,
18.6,,96,,5,100.48,,
18.4,,96,,4,100.53,,
18.3,,97,,4,100.56,,
19.5,,94,,8,100.59,,
20.5,,86,,11,100.59,,
21.2,,82,,11,100.64,,
21.4,,80,,11,100.67,,
22.5,,77,,8,100.65,,
23,,69,,9,100.63,,
24.5,,65,,8,100.59,,
21.4,,76,,12,100.65,,
21.3,,77,,10,100.65,,
20.3,,91,,12,100.68,,
20.9,,86,,5,100.74,,
20.6,,69,,21,100.81,,
19.7,,70,,20,100.88,,
18.2,,75,,16,100.97,,
17.9,,77,,13,100.99,,
17.1,,79,,10,101,,
15.7,,85,,6,101.04,,
16,,87,,4,101.06,,
14.6,,89,,7,101.05,,
15.7,,84,,9,101.05,,
14.7,,87,,7,101.07,,
14.8,,86,,10,101.09,,
13.8,,89,,5,101.13,,
14.2,,88,,5,101.2,,
15.5,,83,,13,101.24,,
16.4,,78,,12,101.26,,
18,,73,,15,101.27,,
19.1,,69,,11,101.26,,
20.6,,70,,9,101.25,,
21,,67,,11,101.22,,
21.4,,64,,7,101.21,,
22.2,,58,,4,101.17,,
23.2,,53,,6,101.15,,
22.8,,60,,9,101.13,,
21.9,,62,,11,101.15,,
22.4,,59,,9,101.15,,
21.3,,64,,8,101.18,,
20.1,,70,,6,101.22,,
18.5,,77,,0,101.23,,
18.2,,77,,0,101.25,,
17.5,,78,,0,101.25,,
17,,88,,5,101.28,,
16.1,,92,,4,101.28,,
15.4,,91,,3,101.3,,
15.2,,95,,3,101.3,,
13.7,,96,,3,101.31,,
13.1,,97,,5,101.34,,
14.3,,92,,7,101.37,,
17.3,,85,,0,101.38,,
19.5,,80,,5,101.38,,
20.4,,74,,9,101.36,,
21.5,,65,,9,101.35,,
22.5,,56,,11,101.29,,
23.1,,55,,9,101.25,,
24.1,,51,,7,101.19,,
24.4,,50,,10,101.14,,
24.6,,52,,4,101.1,,
24.9,,51,,6,101.07,,
24.5,,53,,3,101.06,,
24.1,,53,,5,101.06,,
21,,67,,6,101.06,,
19.8,,71,,3,101.08,,
19.8,,71,,0,101.08,,
19.5,,75,,0,101.07,,
19.1,,82,,3,101.07,,
19.1,,81,,6,101.08,,
19.2,,84,,3,101.06,,
19.4,,83,,6,101.04,,
19.2,,84,,4,101.02,,
18.7,,87,,9,101.01,,
17.8,,90,,5,100.99,,
18,,88,,6,101,,
19.8,,83,,6,100.97,,
20.4,,79,,4,100.97,,
20.3,,82,,4,100.96,,
20.8,,87,,6,100.96,,
20.6,,87,,11,100.91,,
22.9,,77,,8,100.85,,
24.5,,70,,10,100.78,,
25.3,,65,,7,100.69,,
25.3,,64,,7,100.64,,
25.1,,67,,12,100.57,,
22.4,,82,,19,100.56,,
21.9,,90,,15,100.5,,
21.5,,90,,9,100.48,,
21.4,,91,,9,100.47,,
21.3,,89,,8,100.46,,
21.2,,87,,5,100.43,,
20.6,,90,,7,100.42,,
20.5,,91,,4,100.36,,
19.9,,90,,6,100.28,,
20,,90,,6,100.22,,
19.3,,93,,5,100.14,,
19.6,,93,,8,100.04,,
19.5,,93,,4,100,,
17.2,,97,,13,100.03,,
17.8,,96,,13,99.99,,
19.1,,93,,4,99.98,,
19.6,,94,,6,99.96,,
21,,79,,4,99.95,,
21.5,,83,,10,99.89,,
21,,83,,12,99.88,,
17.4,,93,,12,99.95,,
19.3,,93,,12,99.98,,
20.4,,84,,17,100,,
21.6,,73,,11,100,,
20.8,,68,,11,100.06,,
19,,82,,12,100.15,,
18.3,,78,,18,100.28,,
16.9,,75,,24,100.47,,
16,,71,,17,100.59,,
15.5,,73,,15,100.66,,
13.8,,80,,13,100.72,,
13.2,,84,,9,100.77,,
13.3,,82,,14,100.8,,
12.6,,80,,14,100.86,,
11.7,,81,,13,100.88,,
10.2,,84,,7,100.96,,
9.8,,83,,9,101.02,,
10.5,,79,,11,101.13,,
12,,69,,15,101.22,,
13.8,,57,,14,101.29,,
15.2,,55,,11,101.35,,
15.6,,53,,6,101.4,,
16.8,,54,,7,101.38,,
17.8,,54,,12,101.36,,
18.7,,54,,12,101.35,,
20.4,,55,,15,101.33,,
19.9,,48,,15,101.34,,
19.7,,52,,21,101.35,,
19.7,,55,,20,101.37,,
18.6,,60,,14,101.41,,
18,,63,,11,101.47,,
17.3,,67,,8,101.54,,
15.7,,76,,6,101.61,,
15,,83,,5,101.68,,
14.3,,86,,3,101.73,,
