Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
14.6,,34,,5,102.23,,
16.4,,28,,9,102.19,,
17.2,,26,,12,102.13,,
18,,29,,5,102.07,,
20.1,,28,,6,102,,
20.3,,19,,8,101.9,,
21.3,,22,,6,101.83,,
22.3,,17,,13,101.71,,
22.3,,17,,11,101.62,,
22.2,,15,,16,101.53,,
22.1,,20,,12,101.48,,
21.4,,23,,10,101.44,,
20.1,,28,,10,101.44,,
20,,28,,14,101.4,,
19,,32,,14,101.29,,
17.5,,37,,11,101.25,,
17,,39,,14,101.19,,
16.4,,44,,10,101.12,,
14.8,,51,,3,101.09,,
15.5,,51,,10,101.06,,
15.5,,54,,9,101.1,,
14.5,,57,,0,101.12,,
15,,55,,4,101.17,,
14.6,,67,,6,101.2,,
12.8,,83,,16,101.3,,
13,,88,,5,101.31,,
13.1,,89,,11,101.33,,
11.6,,91,,22,101.39,,
8.9,,89,,27,101.44,,
7.7,,87,,27,101.53,,
8.4,,79,,20,101.57,,
10.7,,77,,11,101.58,,
11.7,,69,,8,101.57,,
12.4,,67,,10,101.58,,
11.6,,71,,9,101.59,,
11.7,,51,,7,101.64,,
12,,45,,20,101.69,,
10.7,,52,,21,101.75,,
9.8,,57,,22,101.77,,
9.1,,59,,21,101.81,,
8.5,,63,,19,101.86,,
7.4,,66,,18,101.87,,
6.6,,70,,12,101.86,,
6.3,,71,,15,101.87,,
5.7,,71,,14,101.89,,
6.2,,69,,15,101.91,,
7.2,,64,,15,101.96,,
9,,56,,18,101.99,,
10.1,,52,,14,102.02,,
11.8,,50,,12,101.99,,
12.7,,47,,12,101.97,,
13.7,,44,,11,101.92,,
14.6,,46,,15,101.88,,
16.3,,42,,14,101.82,,
17.2,,29,,14,101.8,,
17.9,,28,,15,101.76,,
18.2,,22,,11,101.71,,
18.2,,24,,16,101.67,,
17.8,,23,,13,101.69,,
16.5,,27,,16,101.73,,
14.4,,32,,9,101.77,,
11.7,,46,,10,101.81,,
12.7,,41,,9,101.84,,
11.7,,44,,13,101.86,,
10.9,,48,,7,101.9,,
10,,52,,5,101.91,,
9.3,,56,,18,101.94,,
7.5,,68,,8,101.97,,
6.9,,73,,8,102.03,,
6.6,,74,,4,102.1,,
8.6,,71,,8,102.18,,
9.8,,63,,6,102.22,,
12,,57,,6,102.25,,
13.9,,47,,5,102.25,,
15.3,,50,,6,102.23,,
16.7,,44,,5,102.17,,
18.1,,39,,12,102.11,,
18.9,,30,,19,102.05,,
20.4,,31,,18,102.02,,
21.1,,27,,19,101.95,,
21.9,,23,,22,101.91,,
21.4,,25,,21,101.91,,
20.3,,28,,19,101.9,,
19.1,,32,,10,101.91,,
17.9,,34,,9,101.92,,
16.5,,39,,7,101.96,,
15.5,,43,,10,102,,
14.7,,45,,10,101.99,,
13.9,,55,,6,102,,
15,,44,,10,102.01,,
14,,55,,13,102.08,,
12.9,,64,,13,102.13,,
12.5,,63,,15,102.15,,
12.2,,61,,13,102.18,,
12.7,,56,,11,102.21,,
14.2,,55,,11,102.2,,
15.2,,52,,14,102.2,,
17.2,,47,,15,102.17,,
18.7,,42,,21,102.13,,
21.1,,41,,18,102.08,,
23.4,,36,,16,102.01,,
25.3,,33,,15,101.94,,
25.9,,30,,21,101.88,,
26.2,,28,,17,101.78,,
26.7,,29,,18,101.74,,
26.1,,29,,15,101.69,,
25.4,,30,,16,101.65,,
24.3,,32,,16,101.64,,
23,,36,,11,101.67,,
22.1,,39,,17,101.7,,
21.3,,39,,16,101.69,,
19.7,,42,,10,101.72,,
18.9,,41,,10,101.7,,
17.3,,54,,12,101.66,,
16.8,,50,,12,101.65,,
16.3,,49,,13,101.6,,
15.7,,51,,10,101.57,,
15.4,,51,,14,101.55,,
15.9,,49,,13,101.53,,
17.2,,48,,14,101.5,,
18.9,,46,,14,101.46,,
20,,47,,19,101.38,,
22,,41,,19,101.33,,
25.3,,38,,15,101.28,,
26.9,,32,,19,101.18,,
27.6,,29,,21,101.1,,
28.6,,27,,21,101,,
28.9,,28,,23,100.93,,
31.2,,21,,23,100.86,,
30.9,,21,,24,100.8,,
29.8,,26,,17,100.81,,
27.5,,34,,8,100.85,,
27.8,,30,,18,100.98,,
25.4,,22,,15,101.13,,
23.6,,22,,21,101.23,,
22.1,,25,,20,101.3,,
20.4,,28,,19,101.37,,
19.2,,31,,20,101.43,,
17.8,,35,,18,101.5,,
16.4,,40,,16,101.52,,
14.7,,46,,14,101.56,,
14.6,,45,,15,101.6,,
15.3,,43,,22,101.64,,
16.2,,40,,18,101.73,,
17.4,,36,,14,101.79,,
18.6,,32,,14,101.79,,
19,,30,,20,101.8,,
20.3,,31,,14,101.76,,
20.5,,28,,16,101.74,,
21.2,,27,,19,101.7,,
21.6,,28,,15,101.63,,
22.8,,24,,16,101.55,,
22.4,,23,,16,101.54,,
22.4,,23,,11,101.51,,
22,,26,,15,101.52,,
21.1,,27,,14,101.53,,
19.8,,29,,13,101.55,,
17.4,,39,,10,101.57,,
16.2,,41,,8,101.58,,
14.8,,43,,9,101.58,,
15.7,,43,,11,101.56,,
12.9,,56,,11,101.55,,
12.9,,56,,11,101.56,,
12.5,,58,,13,101.55,,
11.5,,65,,10,101.6,,
11.2,,68,,4,101.66,,
13.5,,65,,8,101.67,,
15.8,,56,,7,101.72,,
18,,52,,0,101.72,,
19.6,,46,,3,101.71,,
21.9,,43,,7,101.67,,
22.5,,42,,7,101.64,,
23.9,,41,,9,101.59,,
24.7,,38,,3,101.53,,
26.1,,36,,7,101.46,,
27.1,,37,,13,101.4,,
27.3,,37,,10,101.37,,
27.6,,37,,12,101.34,,
27.2,,38,,11,101.32,,
26,,42,,10,101.32,,
23.7,,50,,11,101.35,,
21.9,,56,,7,101.39,,
22.7,,49,,6,101.4,,
20.1,,58,,4,101.43,,
19.6,,60,,5,101.44,,
20.1,,51,,7,101.43,,
18.7,,58,,5,101.46,,
16,,69,,7,101.48,,
16.1,,71,,9,101.54,,
15.1,,76,,7,101.6,,
17.2,,66,,6,101.63,,
18.8,,60,,9,101.66,,
