Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-8.8,,79,,5,100.51,,
-8.6,,85,,4,100.56,,
-8.4,,88,,0,100.61,,
-8.4,,87,,4,100.66,,
-8.7,,88,,6,100.75,,
-10,,87,,7,100.86,,
-12.1,,89,,8,101.01,,
-10.6,,90,,8,101.07,,
-13,,85,,7,101.19,,
-12.6,,91,,0,101.27,,
-12.8,,91,,3,101.33,,
-14.3,,87,,0,101.37,,
-11.8,,88,,0,101.42,,
-10.1,,73,,4,101.46,,
-6.7,,59,,11,101.42,,
-6.3,,52,,8,101.42,,
-6.1,,54,,11,101.37,,
-5.7,,54,,7,101.36,,
-5.6,,50,,7,101.23,,
-5.2,,54,,10,101.19,,
-5.2,,54,,10,101.1,,
-5.5,,53,,8,101.09,,
-6.2,,58,,14,101.03,,
-6.4,,59,,14,100.94,,
-6.7,,58,,16,100.84,,
-6.6,,58,,18,100.74,,
-6.7,,60,,17,100.68,,
-6.5,,60,,16,100.66,,
-6.3,,60,,17,100.58,,
-6.2,,61,,18,100.51,,
-6,,63,,17,100.4,,
-5.3,,63,,15,100.38,,
-5.8,,80,,15,100.34,,
-5.3,,84,,17,100.28,,
-4,,81,,12,100.27,,
-4.2,,90,,16,100.27,,
-4.1,,90,,18,100.28,,
-4.1,,90,,14,100.25,,
-4.1,,92,,16,100.23,,
-3.8,,91,,14,100.18,,
-3.5,,94,,13,100.16,,
-3,,92,,12,100.1,,
-2.2,,94,,16,100.06,,
-1.1,,96,,23,100,,
-0.4,,95,,30,100,,
0,,98,,29,100.07,,
1,,97,,29,100.23,,
0.5,,81,,30,100.46,,
0.1,,79,,18,100.55,,
0.4,,79,,22,100.67,,
0.7,,78,,20,100.79,,
0.3,,71,,22,100.88,,
