Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
1.6,,94,,15,100.26,,
1.1,,82,,19,100.41,,
0.4,,78,,27,100.57,,
-0.3,,74,,26,100.75,,
-0.7,,73,,23,100.92,,
-1.2,,73,,23,101.06,,
-1.7,,62,,24,101.19,,
-2.8,,72,,25,101.3,,
-3.7,,71,,24,101.39,,
-4.4,,68,,22,101.47,,
-4.6,,66,,23,101.57,,
-4.7,,68,,16,101.62,,
-5.4,,73,,7,101.67,,
-4.5,,73,,10,101.69,,
-4.6,,74,,8,101.7,,
-3.8,,86,,10,101.7,,
-3.7,,85,,11,101.69,,
-3.2,,81,,14,101.67,,
-1.7,,77,,12,101.61,,
-0.3,,77,,14,101.63,,
0.9,,75,,19,101.52,,
1.6,,76,,19,101.38,,
2.9,,71,,23,101.32,,
3.2,,68,,28,101.27,,
3.2,,70,,22,101.29,,
4,,65,,27,101.31,,
3.9,,65,,21,101.37,,
3.6,,70,,17,101.43,,
3.5,,73,,15,101.5,,
2,,85,,20,101.59,,
1.6,,85,,16,101.64,,
1.7,,83,,15,101.7,,
1.7,,78,,13,101.75,,
1.3,,75,,13,101.79,,
0.7,,75,,16,101.84,,
0.9,,71,,17,101.91,,
0.8,,71,,16,101.99,,
0.3,,66,,17,102.04,,
-0.2,,72,,11,102.03,,
-0.2,,64,,14,102.12,,
-0.4,,56,,21,102.17,,
-0.8,,58,,13,102.17,,
-1.1,,56,,18,102.23,,
-0.6,,49,,24,102.27,,
-0.4,,51,,19,102.22,,
-0.6,,53,,28,102.2,,
-0.5,,54,,28,102.21,,
-0.6,,50,,29,102.2,,
-0.9,,47,,25,102.26,,
-0.9,,43,,28,102.34,,
-1.6,,50,,17,102.46,,
-3.2,,65,,24,102.63,,
-4.5,,61,,23,102.76,,
-5.6,,59,,19,102.86,,
-6.6,,64,,11,102.9,,
-5.8,,59,,22,102.93,,
-5.9,,60,,14,102.99,,
-5.9,,61,,15,103.02,,
-6.1,,64,,10,103.05,,
-6.4,,68,,15,103.08,,
-6.2,,67,,13,103.13,,
-6.3,,72,,14,103.09,,
-6.6,,73,,12,103.11,,
-7.2,,75,,8,103.11,,
-7.4,,76,,9,103.1,,
-6.5,,71,,7,103.14,,
-5.2,,63,,9,103.13,,
-4.2,,58,,15,103.1,,
-3.1,,60,,17,102.97,,
-2.2,,50,,14,102.81,,
-1.5,,56,,18,102.69,,
-0.3,,55,,11,102.59,,
0.5,,57,,16,102.46,,
0.1,,64,,15,102.36,,
0.5,,68,,20,102.21,,
0.6,,69,,16,102.16,,
1.9,,64,,24,102.04,,
1.6,,66,,16,102.01,,
1.8,,69,,20,101.93,,
1.7,,74,,12,101.86,,
2,,77,,15,101.81,,
2.4,,77,,18,101.72,,
2.7,,77,,21,101.64,,
3.4,,75,,22,101.61,,
3.4,,77,,19,101.61,,
3.1,,78,,18,101.56,,
3.4,,78,,16,101.56,,
3.7,,78,,19,101.59,,
3.7,,80,,20,101.59,,
4,,79,,23,101.66,,
4.3,,79,,26,101.75,,
5.2,,77,,28,101.77,,
6,,74,,26,101.73,,
6.6,,72,,25,101.7,,
7.3,,70,,19,101.68,,
7.8,,68,,17,101.67,,
7.6,,69,,15,101.7,,
7.4,,71,,12,101.69,,
7.3,,72,,13,101.73,,
6.9,,72,,21,101.79,,
6.6,,73,,17,101.84,,
6.3,,73,,16,101.88,,
5.9,,76,,14,101.93,,
5.6,,77,,14,101.98,,
5.3,,78,,12,102.02,,
4.7,,80,,9,102.1,,
4.9,,76,,12,102.15,,
4,,80,,11,102.26,,
2.4,,84,,12,102.38,,
1.8,,82,,11,102.49,,
0.2,,90,,7,102.64,,
0.1,,80,,8,102.77,,
-0.7,,77,,7,102.86,,
0.4,,70,,3,102.94,,
0.8,,68,,0,102.96,,
2.7,,53,,11,103.07,,
2.8,,51,,14,103.12,,
2.4,,52,,17,103.09,,
2.7,,51,,7,103.05,,
2.6,,49,,11,103.02,,
2.2,,53,,7,103,,
1.3,,56,,9,102.99,,
0.7,,59,,8,103,,
0,,63,,15,102.95,,
-0.7,,65,,17,102.9,,
-0.7,,64,,12,102.86,,
-0.8,,65,,13,102.73,,
-0.9,,69,,9,102.75,,
-0.8,,71,,12,102.66,,
0.2,,69,,11,102.56,,
-0.6,,73,,11,102.48,,
1.6,,73,,9,102.41,,
2.3,,72,,6,102.32,,
3.9,,71,,16,102.2,,
4.6,,65,,25,102.06,,
4.6,,65,,26,102.02,,
4.5,,67,,27,101.99,,
4.7,,69,,29,101.91,,
4.9,,71,,31,101.93,,
5.2,,72,,19,102.01,,
5.6,,72,,19,101.92,,
6,,72,,18,101.82,,
6.5,,73,,15,101.65,,
7,,75,,20,101.51,,
7.2,,75,,23,101.46,,
7.1,,76,,23,101.36,,
7.4,,75,,23,101.26,,
7.2,,80,,24,101.15,,
6.7,,86,,25,101.02,,
6.5,,94,,32,100.87,,
6.8,,92,,24,100.74,,
7,,94,,24,100.59,,
7.8,,93,,23,100.4,,
7.9,,94,,24,100.24,,
8.2,,93,,21,100.09,,
8.4,,94,,20,100,,
8.5,,97,,21,99.86,,
8.6,,97,,20,99.67,,
7.8,,98,,17,99.53,,
8.6,,98,,11,99.28,,
9.4,,98,,11,99.06,,
7.1,,98,,22,98.64,,
6.8,,98,,25,98.26,,
7.5,,99,,20,98.03,,
8.3,,98,,21,97.81,,
8.1,,97,,13,97.69,,
7.3,,97,,15,97.73,,
7.7,,98,,11,97.73,,
7.3,,97,,21,97.85,,
6.8,,95,,19,97.88,,
6.7,,95,,20,98.05,,
6.5,,94,,20,98.13,,
6.4,,92,,22,98.3,,
6.4,,91,,25,98.5,,
6.2,,91,,24,98.67,,
6,,90,,13,98.89,,
5.5,,96,,14,99,,
5.5,,94,,11,99.12,,
5.3,,94,,9,99.21,,
4.6,,97,,13,99.36,,
4,,95,,13,99.43,,
3.9,,95,,8,99.52,,
3.2,,92,,11,99.64,,
2.4,,92,,7,99.82,,
1.9,,93,,9,100.01,,
1.3,,94,,12,100.17,,
0,,96,,14,100.33,,
-0.8,,95,,16,100.52,,
-1,,93,,19,100.64,,
-1.6,,81,,26,100.77,,
-1.4,,76,,23,100.93,,
-1.8,,72,,24,101.11,,
-2.2,,74,,20,101.32,,
-2.7,,71,,20,101.48,,
-3,,71,,20,101.62,,
-3,,72,,24,101.79,,
-3.2,,72,,20,101.93,,
-3.8,,72,,23,102.04,,
-4,,70,,15,102.13,,
-4.9,,71,,15,102.2,,
-5.4,,73,,13,102.25,,
-5.6,,75,,9,102.26,,
-5.6,,77,,7,102.31,,
-5.1,,81,,10,102.37,,
-4.7,,81,,13,102.37,,
-5.7,,85,,5,102.36,,
-5.4,,85,,0,102.36,,
-5.6,,84,,0,102.4,,
-4.8,,86,,6,102.43,,
-3.9,,85,,10,102.46,,
-2.3,,79,,6,102.47,,
-2.4,,82,,6,102.51,,
-1.9,,77,,8,102.5,,
-1.4,,76,,7,102.42,,
-1.6,,76,,9,102.43,,
-1.3,,77,,5,102.42,,
-1.2,,78,,7,102.48,,
-1.5,,78,,6,102.57,,
-1.6,,81,,6,102.62,,
-1.7,,83,,6,102.68,,
-1.7,,84,,4,102.71,,
-3.2,,86,,7,102.78,,
-3.2,,88,,11,102.83,,
-2.8,,80,,13,102.87,,
-3.4,,78,,14,102.93,,
-4.1,,69,,20,102.97,,
-5.6,,67,,30,103.05,,
-6.7,,66,,26,103.1,,
-7.1,,64,,22,103.17,,
-7.6,,67,,16,103.22,,
-8,,68,,14,103.26,,
-8.4,,72,,12,103.3,,
-8.9,,73,,10,103.37,,
-8.5,,73,,10,103.4,,
-7.4,,66,,15,103.45,,
-6.3,,64,,20,103.46,,
-5.5,,58,,19,103.4,,
-5,,57,,17,103.31,,
-4.2,,52,,14,103.24,,
-4.3,,53,,16,103.21,,
-4.3,,51,,13,103.2,,
-5.1,,56,,11,103.21,,
-5.8,,59,,11,103.2,,
-6.6,,67,,10,103.2,,
-6.7,,69,,9,103.2,,
-7.1,,66,,9,103.19,,
-7.1,,66,,13,103.18,,
-7.6,,68,,14,103.16,,
-8.1,,70,,14,103.15,,
-8.8,,73,,9,103.12,,
-9,,73,,11,103.08,,
-9,,71,,10,103.08,,
-9.4,,72,,10,103.06,,
-9.8,,75,,9,103.04,,
-10,,77,,11,103.05,,
-10,,76,,10,103.07,,
-9.7,,74,,9,103.08,,
-9.9,,77,,9,103.09,,
-8.6,,73,,9,103.08,,
-7.7,,68,,6,103.07,,
-6.2,,62,,4,103.01,,
-5.9,,60,,6,102.95,,
-4.8,,54,,4,102.85,,
-4.8,,57,,4,102.83,,
-4.8,,56,,6,102.82,,
-5.2,,59,,6,102.81,,
-5.3,,61,,6,102.8,,
-5.4,,64,,4,102.8,,
-6.1,,70,,8,102.83,,
-5.8,,67,,6,102.83,,
-6.1,,70,,7,102.8,,
-6.2,,71,,8,102.8,,
-6.5,,74,,9,102.79,,
-6.7,,75,,9,102.75,,
-6.6,,75,,11,102.72,,
-7.2,,80,,10,102.69,,
-7.9,,84,,11,102.67,,
-7.7,,82,,12,102.66,,
-8,,82,,13,102.66,,
-7.4,,81,,12,102.64,,
-8.3,,84,,11,102.65,,
-8.3,,84,,10,102.63,,
-7,,82,,13,102.62,,
-5.6,,78,,12,102.61,,
-4.2,,75,,14,102.6,,
-3.6,,74,,15,102.52,,
-3.1,,70,,16,102.48,,
-2.2,,69,,9,102.48,,
-1.7,,69,,9,102.48,,
-1.3,,70,,6,102.49,,
-1.5,,72,,4,102.48,,
-1.4,,74,,11,102.51,,
-1.5,,72,,12,102.52,,
-0.9,,70,,8,102.51,,
-1,,74,,10,102.52,,
-1.3,,76,,12,102.52,,
-1.4,,75,,12,102.49,,
-1.3,,74,,11,102.47,,
-1.2,,75,,12,102.46,,
-1.1,,75,,11,102.44,,
-0.9,,75,,9,102.45,,
-1.4,,77,,12,102.43,,
-1.2,,76,,13,102.43,,
-0.9,,79,,12,102.45,,
-0.8,,77,,13,102.48,,
-0.6,,78,,12,102.52,,
-0.2,,77,,12,102.56,,
0.3,,77,,12,102.62,,
0.7,,75,,13,102.57,,
1.5,,73,,11,102.51,,
1.8,,72,,11,102.48,,
2,,71,,10,102.46,,
1.6,,73,,14,102.5,,
1.5,,74,,10,102.54,,
1.3,,74,,9,102.56,,
1.2,,75,,9,102.59,,
1.3,,74,,8,102.59,,
1.2,,75,,8,102.6,,
1.1,,75,,9,102.6,,
1.2,,77,,7,102.6,,
1.1,,79,,5,102.61,,
1.1,,80,,6,102.58,,
1.3,,77,,6,102.55,,
1.4,,76,,8,102.59,,
1.6,,85,,5,102.58,,
1.3,,88,,0,102.56,,
1.3,,89,,3,102.57,,
1.3,,87,,3,102.57,,
1.9,,82,,7,102.6,,
1.3,,83,,5,102.64,,
2.2,,83,,5,102.64,,
3.1,,85,,5,102.64,,
4.4,,78,,4,102.6,,
5.1,,78,,7,102.52,,
5,,79,,5,102.43,,
5.2,,80,,4,102.42,,
5,,82,,0,102.41,,
5,,83,,0,102.38,,
3.5,,85,,3,102.4,,
3.7,,83,,0,102.38,,
3.8,,85,,3,102.41,,
3.1,,84,,6,102.44,,
2.9,,84,,4,102.39,,
3,,85,,6,102.37,,
3.4,,83,,0,102.34,,
