Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
0.1,,90,,12,101.51,,
-0.1,,93,,13,101.55,,
-0.1,,94,,9,101.6,,
-0.1,,93,,11,101.67,,
-0.1,,92,,10,101.75,,
-0.1,,91,,9,101.85,,
0,,91,,8,101.97,,
0.1,,90,,6,102.08,,
0.4,,89,,10,102.18,,
1.3,,85,,7,102.18,,
1.9,,87,,10,102.24,,
2.5,,83,,8,102.22,,
2.9,,81,,10,102.22,,
2.9,,81,,15,102.26,,
3.4,,79,,17,102.27,,
3.5,,80,,10,102.32,,
3.3,,84,,8,102.36,,
3.5,,83,,10,102.4,,
3.7,,82,,7,102.41,,
3.4,,83,,7,102.44,,
3.4,,83,,6,102.45,,
3.4,,83,,10,102.45,,
3.3,,81,,8,102.41,,
3.4,,79,,3,102.39,,
3.5,,77,,7,102.39,,
3.4,,76,,4,102.37,,
3.1,,85,,8,102.34,,
1.6,,92,,9,102.29,,
1.7,,92,,9,102.29,,
2.4,,82,,13,102.24,,
2.9,,79,,12,102.22,,
3.2,,79,,15,102.19,,
4.2,,74,,14,102.16,,
5.5,,70,,12,102.09,,
7.4,,63,,15,101.99,,
8.6,,58,,16,101.83,,
8.5,,57,,15,101.67,,
9.1,,56,,16,101.56,,
9.5,,56,,15,101.45,,
8.2,,66,,7,101.42,,
6.5,,73,,14,101.39,,
5.4,,77,,12,101.4,,
5.9,,74,,13,101.42,,
6.2,,70,,13,101.43,,
6.7,,67,,11,101.42,,
6.1,,71,,10,101.42,,
6.7,,64,,9,101.43,,
6.3,,73,,7,101.44,,
6.3,,74,,9,101.48,,
6,,71,,7,101.51,,
5.1,,74,,7,101.55,,
4.6,,77,,8,101.6,,
4,,83,,4,101.66,,
2.2,,89,,7,101.66,,
3.6,,86,,7,101.73,,
4.3,,83,,6,101.83,,
6,,78,,7,101.83,,
7.3,,69,,10,101.82,,
8.5,,70,,10,101.77,,
10.2,,64,,7,101.7,,
11,,61,,16,101.66,,
11.6,,60,,15,101.64,,
11.5,,57,,11,101.61,,
10.7,,53,,8,101.56,,
7.6,,66,,7,101.55,,
7.3,,71,,12,101.54,,
6.5,,70,,8,101.52,,
7.2,,71,,8,101.44,,
7.5,,67,,10,101.36,,
6.9,,69,,10,101.31,,
5.1,,74,,9,101.19,,
5.1,,75,,11,101.11,,
5.7,,75,,12,101.01,,
5.8,,78,,12,100.94,,
7.3,,72,,15,100.78,,
7.8,,68,,17,100.7,,
7.8,,70,,18,100.59,,
8,,71,,20,100.5,,
9.2,,65,,21,100.41,,
10.4,,63,,19,100.38,,
11,,61,,23,100.31,,
11.5,,61,,21,100.19,,
13.7,,50,,25,100.05,,
14.1,,50,,25,99.91,,
13,,66,,17,99.91,,
12.4,,83,,17,99.95,,
11.1,,90,,19,99.94,,
11.1,,90,,18,100,,
10.8,,93,,12,100.02,,
10.7,,94,,15,100.09,,
8.4,,89,,20,100.25,,
7.7,,90,,9,100.31,,
7.2,,90,,10,100.42,,
5.2,,85,,19,100.5,,
4.2,,84,,20,100.53,,
3.8,,81,,16,100.6,,
3.2,,81,,14,100.63,,
2.5,,82,,11,100.66,,
1.4,,86,,9,100.68,,
1.6,,85,,9,100.73,,
1.6,,83,,12,100.76,,
1.5,,84,,11,100.78,,
1.4,,83,,9,100.81,,
1.5,,79,,13,100.84,,
1.5,,77,,9,100.85,,
1.8,,75,,9,100.83,,
2.4,,71,,16,100.79,,
2.4,,58,,16,100.75,,
3.3,,55,,12,100.67,,
3,,52,,19,100.63,,
2.7,,54,,21,100.62,,
2.1,,57,,17,100.59,,
1.2,,63,,12,100.59,,
1.6,,64,,10,100.57,,
1.2,,66,,8,100.52,,
1.8,,64,,6,100.46,,
2.7,,66,,8,100.39,,
2.8,,70,,11,100.29,,
2.8,,73,,11,100.25,,
3.1,,74,,14,100.16,,
3.1,,78,,9,100.12,,
3.2,,77,,10,100.09,,
3.5,,73,,14,100.08,,
3.5,,74,,14,100.07,,
2.9,,78,,10,100.09,,
2.8,,79,,14,100.12,,
1.9,,81,,18,100.18,,
2.2,,79,,22,100.24,,
2.8,,74,,24,100.28,,
4,,67,,24,100.33,,
4.2,,64,,27,100.35,,
4.7,,60,,27,100.38,,
3.7,,71,,27,100.44,,
4.2,,66,,21,100.49,,
2.9,,73,,26,100.6,,
2.1,,63,,27,100.73,,
1.3,,61,,20,100.94,,
1.6,,61,,17,101.07,,
1.5,,58,,20,101.18,,
0.6,,57,,23,101.27,,
-0.9,,61,,16,101.39,,
-1.6,,56,,21,101.53,,
-1.8,,57,,13,101.61,,
-2.5,,58,,18,101.67,,
-3.7,,64,,14,101.76,,
-4.1,,67,,12,101.86,,
-4.9,,72,,11,101.97,,
-4.3,,72,,9,102.05,,
-3.7,,67,,12,102.16,,
-3.1,,64,,10,102.25,,
-3,,63,,13,102.41,,
-3.1,,62,,14,102.54,,
-2.9,,58,,11,102.64,,
-2.2,,57,,8,102.69,,
-1.4,,54,,6,102.74,,
-1.1,,51,,11,102.73,,
-0.4,,49,,9,102.73,,
